concerned,P\k@n-'s3nd\[CVC][CVVCC]\[k@n][s3:nd],,,,,cC,CR CRCC,CR CRCC,01,+/d/,CR CRC,V,,,,2,
download,,d'Wnl+od,,,SS,,CVVM CVVC,CVVM CVVC,11,0,,"n,v",,,,1,
meat+loaf,,,,,,SS,CVVC CVVC,CVVC CVVC,11,0,,n,,,,3,1;
mooshboosh,,,,11,SS,,CVVC CVVC,CVVC CVVC,11,0,,0,,,,9,
night+night,,,,,,SS,CVVC CVVC,CVVC CVVC,11,0,,0,,,,89,1;
noontime,,n'unt+Ym,,,SS,,CVVM CVVM,CVVM CVVM,11,0,,n,,,,2,1;
nosedives,,n'ozd+Yvz,,,SS,,CVVC CVVCC,CVVC CVVCC,11,+/z/,CVVC CVVC,"n,v",,,,1,1;
outgrown,,+Wtgr'on,aUt/gr@Un|aUtgr@Un,,,SS,VVC CCVVM,CVVC CCVVM,11,+/n/,VVC CCVV,v,,,,1,1;
pinecones,,,,11,SS,,CVVM CVVMC,CVVM CVVMC,11,+/z/,CVVM CVVM,n,,,,5,1;
roosteen,,,,11,SS,,CVV CCVVC,CVVC CVVM,11,0,0,0,,,,1,
streetlight,,,,11,SS,,CCCVVC CVVC,CCCVVC CVVC,11,0,,n,,,,3,
sweetsa,,,,10,Sx,,CCVVC CV,CCVVC CV,10,0,,0,,,,2,
appeared,,.xp'ird,,,xC,,V CVVMC,V CVVMC,01,+/d/,V CVVM,v,,,,2,
appears,,.xp'irz,,,xC,,V CVVMC,V CVVMC,01,+/z/,V CVVM,v,,,,1,
attached,,.xt'@Ct,,,,xC,V CVCC,V CVCC,01,+/t/,V CVC,v,,,,5,
attacked,,.xt'@kt,,,xC,,V CVCC,V CVCC,01,+/t/,V CVC,v,,,,6,
barrette,,,,01,xC,,CV CVC,CV CVC,01,0,,n,,,,8,
barrettes,,,,01,xC,,CV CVCC,CV CVCC,01,+/s/,CV CVC,n,,,,12,
becomes,,b.Ik'Amz,,,xC,,CV CVMC,CV CVMC,01,+/z/,CV CVM,v,,,,2,
began,,b.xg'@n,bI/g&n|bI'g&n,,,xC,CV CVM,CV CVM,01,0,,v,,,,14,
begins,,b.xg'Inz,,,xC,,CV CVMC,CV CVMC,01,+/z/,CV CVM,v,,,,19,
begun,,b.xg'An,bI/gVn|bIgVn,,,xC,CV CVM,CV CVM,01,0,,v,,,,2,
belongs,,b.xl'cGz,,,xC,,CV CVVCC,CV CVVMC,01,+/z/,CV CVVM,v,,,,18,
deluxe,,d.xl'Aks|d+il'Aks,,,xC,,CV CVCC,CV CVCC,01,0,,a,,,,1,
elisse,,,,,,xC,V CVVC,V CVVC,01,0,,0,Proper Noun,,,1,
giraffes,,J.xr'@fs,,,xC,,CV CVCC,CV CVC,01,+/s/,CV CVC,n,,,,2,
giraffe's,,,,01,xC,,CV CVCC,CV CVCC,01,+/s/,CV CVC,n,,,,2,
jafar,,,,01,xC,,CV CVVC,CV CVVM,01,0,,0,Proper Noun,,,9,
jafar's,,,,01,xC,,CV CVVCC,CV CVVMC,01,+/z/,CV CVVC,0,Proper Noun,,,1,
prevents,,pr.xv'Ents,,,xC,,CCV CVMCC,CCV CVMC,01,+/s/,CCV CVMC,v,,,,1,
relaxed,,r.xl'@kst|r+il'@kst,,,,xC,CV CVCCC,CV CVCCC,01,+/d/,CV CVCC,v,,,,1,
results,,r.Iz'Alts|r+iz'Alts,,,xC,,CV CVMCC,CV CVMC,01,+/s/,CV CVMC,"n,v",,,,1,
returned,,r.It'Rnd|r+it'Rnd,,,xC,,CV CRCC,CV CRCC,01,+/d/,CV CRC,v,,,,1,
adam,,'@d.xm,,,,Xc,V CR,V CR,10,0,,0,Proper Noun,,,26,
adam's,,'@d.xmz,,,Xc,,V CRC,V CRC,10,+/z/,V CR,0,Proper Noun,,,2,
added,,'@d.Id,,,Xc,,V CVC,V CVC,10,+/Id/,VC,v,,,,4,
adding,,'@d.IG,,,,Xc,V CVM,V CVC,10,+/IG/,VC,v,,,,2,
alex,,'@l.Iks,,,Xc,,V CVCC,V CVCC,10,0,,0,Proper Noun,,,208,
allen,,'@l.In,,,,Xc,V CVC,V CVC,10,0,,0,Proper Noun,,,234,
apples,,'@p.xlz,,,Xc,,V CRC,C CRC,10,+/z/,V CR,n,,,,36,
awfuls,,,,10,Xc,,VV CRC,V CRC,10,+/z/,VV CR,0,,,,1,
babas,,,,10,Xc,,CV CVC,CV CVC,10,+/z/,CV CV,0,,,,1,
babbling,,b'@bl.IG|b'@b.xl.IG,,,Xc,,CV CCVM,CVC CVC,10,+/IG/,CV CR,v,,,,2,
balling,,b'cl.IG,,,Xc,,CVV CVM,CV CVC,10,+/IG/,CVVC,v,,,,1,
baring,,b'er.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,v,,,,1,
barrels,,b'@r.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,1,
barron@f,,,,10,Xc,,CV CR,CV CR,10,0,,0,Proper Noun,,,1,
begging,,b'Eg.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,2,
bigger,,b'Ig.R,,,Xc,,CV CR,CV CR,10,+/R/,CVC,a,,,,36,
biggest,,b'Ig.xst,,,Xc,,CV CVCC,CV CVCC,10,+/Ist/,CVC,a,,,,8,
blessings,,bl'Es.IGz,,,Xc,,CCV CVMC,CCV CVCC,10,+/z/,CCVC,n,,,,6,
blocking,,bl'ak.IG,,,Xc,,CCVV CVM,CCVV CVC,10,+/IG/,CCVVC,v,,,,3,
blossomed,,bl'as.xmd,,,Xc,,CCVV CRC,CCVV CRC,10,+/d/,CCVV CR,v,,,,1,
bobbing,,b'ab.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,v,,,,1,
bossing,,b'cs.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,v,,,,1,
boston,,b'cst.In,,,Xc,,CV CCR,CVC CR,10,0,,0,Proper Noun,,,1,
bothered,,b'aD.Rd,,,Xc,,CVV CRC,CVV CR,10,+/d/,CVV CR,v,,,,2,
bottles,,b'at.xlz,,,Xc,,CVV CRC,CVV CRC,10,+/z/,CVV CR,"n,v",,,,3,
bottoms,,b'at.xmz,,,Xc,,CVV CRC,CVV CR,10,+/z/,CVV CR,n,,,,1,
bridges,,br'IJ.Iz,,,Xc,,CCV CVC,CCV CVC,10,+/Iz/,CCVC,"n,v",,,,1,
brigitte,,br'IJ.It|br'IZ.It|br.IZ'it,,,Xc,,CCV CVC,CCV CVC,10,0,,0,Proper Noun,,,1,
brigitte's,,,,10,Xc,,CCV CVCC,CCV CVCC,10,+/s/,CCV CVC,0,Proper Noun,,,1,
bristles,,br'Is.xlz,,,Xc,,CCV CRC,CCV CRC,10,+/z/,CCV CR,"n,v",,,,1,
britches,,br'IC.Iz,,,Xc,,CCV CVC,CCV CVC,10,+/Iz/,CCVC,n,,,,2,
broader,,br'cd.R,,,Xc,,CCVV CR,CCV CR,10,+/R/,0,a,,,,1,
brothers,,br'AD.Rz,,,Xc,,CCV CRC,CCV CRC,10,+/z/,CCV CR,n,,,,7,
brushing,,br'AS.IG,,,Xc,,CCV CVM,CCV CVCC,10,+/IG/,CCVC,v,,,,3,
bubbler,,,,10,Xc,,CV CCR,CVC CR,10,0,,n,,,,1,
bubbles,,b'Ab.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,94,
buckets,,b'Ak.Its,,,Xc,,CV CVCC,CV CVCC,10,+/s/,CV CVC,n,,,,11,
buckled,,b'Ak.xld,,,Xc,,CV CRC,CV CRC,10,+/d/,CV CR,v,,,,1,
buckles,,b'Ak.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,2,
bugging,,b'Ag.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,5,
bumming,,b'Am.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,1,
bushes,,b'US.Iz,,,Xc,,CV CVC,CV CVC,10,+/Iz/,CVC,n,,,,11,
buzzing,,b'Az.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,2,
camels,,k'@m.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,5,
carrots,,k'@r.Its,,,Xc,,CVV CVCC,CV CVCC,10,+/s/,CVV CVC,n,,,,51,
catches,,k'@C.Iz,,,Xc,,CV CVC,CV CVC,10,+/Iz/,CVC,v,,,,7,
causing,,k'cz.IG,,,Xc,,CVV CVM,CV CVC,10,+/IG/,CVVC,v,,,,3,
channels,,C'@n.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,1,
checking,,C'Ek.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,10,
chickens,,C'Ik.Inz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,2,
christened,,kr'Is.Ind,,,Xc,,CCV CRC,CCV CRC,10,+/d/,CCV CR,v,,,,1,
clapping,,kl'@p.IG,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVC,v,,,,20,
clicker,,kl'Ik.R,,,Xc,,CCV CR,CCV CR,10,0,,n,,,,1,
clicking,,kl'Ik.IG,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVC,v,,,,2,
clifford,,kl'If.Rd,,,Xc,,CCV CRC,CCV CRC,10,0,,0,Proper Noun,,,50,
clifford's,,,,10,Xc,,CCV CRCC,CCV CRCC,10,+/z/,CCV CRC,0,Proper Noun,,,8,
color,,k'Al.R,,,,Xc,CV CR,CV CR,10,0,,"n,v",,,,43,
colored,,k'Al.Rd,,,Xc,,CV CRC,CV CRC,10,+/d/,CV CR,v,,,,5,
colors,,k'Al.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,45,
coughing,,k'cf.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,v,,,,7,
cousins,,k'Az.Inz,,,Xc,,CV CVMC,CV CRC,10,+/z/,CV CR,n,,,,1,
covered,,k'Av.Rd,,,,Xc,CV CRC,CV CRC,10,+/d/,CV CR,v,,,,11,
covers,,k'Av.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,9,
crabbing,,kr'@b.IG,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVC,v,,,,1,
crawling,,kr'cl.IG,,,Xc,,CCVV CVM,CCV CVC,10,+/IG/,CCVVC,v,,,,25,
crickets,,kr'Ik.Its,,,Xc,,CCV CVCC,CCV CVCC,10,+/s/,CCV CVC,n,,,,1,
cupboard's,,,,10,Xc,,CV CRCC,CV CRCC,10,+/z/,CV CRC,n,,,,1,
cushioned,,k'US.Ind,,,Xc,,CV CRC,CV CRC,10,+/d/,CV CR,v,,,,1,
cushions,,k'US.Inz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,3,
dada's,,,,10,Xc,,CVV CVC,CVV CVVC,10,+/z/,CVV CV,n,,,,14,
dad'll,,,,10,Xc,,CV CR,CV CR,10,0,,0,contraction,,,2,
dennis,,,,,Xc,,CV CVC,CV CVC,10,0,,0,Proper Noun,,,1,
devon,,,,,Xc,,CV CR,CV CR,10,0,,0,Proper Noun,,,1,
dinners,,d'In.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,1,
dollars,,d'al.Rzdevon,,,Xc,,CVV CRC,CVV CR,10,+/z/,CVV CR,n,,,,16,
donald,,d'an.xld,,,Xc,,CVV CRC,CVV CRC,10,0,,0,Proper Noun,,,30,
donald's,,,,,Xc,,CVV CRCC,CVV CRCC,10,+/z/,CVV CRC,0,Proper Noun,,,1,
dragging,,dr'@g.IG,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVC,v,,,,4,
dresses,,dr'Es.Iz,,,Xc,,CCV CVC,CCV CVC,10,+/Iz/,CCVC,"n,v",,,,1,
dropping,,dr'ap.IG,,,Xc,,CCVV CVM,CCVV CVC,10,+/IG/,CCVVC,v,,,,6,
drumming,,dr'Am.IG,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVC,v,,,,4,
dusted,,d'Ast.Id,,,Xc,,CV CCVC,CVC CVC,10,+/Id/,CVCC,v,,,,1,
dusting,,d'Ast.IG,,,Xc,,CV CCVM,CVC CVC,10,+/IG/,CVCC,v,,,,1,
eric,,'Er.Ik,e/rIk|erIk,,,Xc,V CVC,V CVC,10,0,,0,Proper Noun,,,3,
erin,,'Er.In,,,,Xc,V CVC,V CVC,10,0,,0,Proper Noun,,,1,
fastens,,f'@s.Inz,,,Xc,,CV CVMC,CV CRC,10,+/z/,CV CR,v,,,,6,
faster,,f'@st.R,,,Xc,,CV CCR,CVC CR,10,0,,a,,,,13,
father's,,f'aD.Rz,,,Xc,,CVV CRC,CVV CRC,10,+/z/,CVV CR,n,,,,6,
feathers,,f'ED.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,3,
ferris,,f'Er.Is,,,Xc,,CV CVC,CV CVC,10,0,,0,Proper Noun,,,1,
fiddles,,f'Id.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,1,
fishes,,f'IS.Iz,,,Xc,,CV CVC,CV CVC,10,+/Iz/,CVC,"n,v",,,,2,
fittis,,,,10,Xc,,CV CVC,CV CVC,10,0,,0,,,,21,
flashes,,fl'@S.Iz,,,Xc,,CCV CVC,CCV CVC,10,+/Iz/,CCVC,"n,v",,,,1,
flutters,,fl'At.Rz,,,Xc,,CCV CRC,CCV CRC,10,+/z/,CCV CR,"n,v",,,,1,
freddy,,fr'Ed.i,,,Xc,,CCV CVV,CCV CVV,10,0,,0,Proper Noun,,,3,
fusser,,,fV/s@|fVs@2 Q,10,,,CV CR,CVC CR,10,0,,n,,,,2,
fussing,,f'As.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,67,
giggles,,g'Ig.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,2,
gimmicks,,g'Im.Iks,,,Xc,,CV CVCC,CV CVCC,10,+/s/,CV CVC,n,,,,2,
giving,,g'Iv.IG,,,,Xc,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,56,
gladys,,gl'@d.Is,,,Xc,,CCV CVC,CCV CVC,10,0,,0,Proper Noun,,,1,
goodest,,,,10,Xc,,CV CVCC,CV CVCC,10,+/Ist/,CVC,a,,,,1,
gotten,,g'at.N,g0/tn|g0tn,,,Xc,CVV CR,CVV CVC,10,+/N/,CVVC,v,,,,13,
grabbing,,gr'@b.IG,,,,Xc,CCV CVM,CCV CVC,10,+/IG/,CCVC,v,,,,12,
grasses,,gr'@s.Iz,,,Xc,,CCV CVC,CCV CVC,10,+/Iz/,CCVC,n,,,,1,
habits,,h'@b.Its,,,Xc,,CV CVCC,CV CVCC,10,+/s/,CV CVC,n,,,,1,
hannah's,,,,10,Xc,,CV CVC,CV CVC,10,+/z/,CV CV,0,Proper Noun,,,1,
happened,,h'@p.xnd,,,Xc,,CV CRC,CV CRC,10,+/d/,CV CR,v,,,,76,
happens,,h'@p.xnz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,v,,,,17,
having,,h'@v.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,88,
headed,,h'Ed.Id,,,,Xc,CV CVC,CV CVC,10,+/Id/,CVC,v,,,,10,
heavens,,h'Ev.xnz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,6,
hiccups,,h'Ik.xps,,,Xc,,CV CVCC,CV CVCC,10,+/s/,CV CVC,"n,v",,,,16,
hidden,,h'Id.N,hI/dn|hIdn,,,Xc,CV CR,CV CR,10,+/N/,CVC,v,,,,3,
hitting,,h'It.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,28,
hogging,,h'cg.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,v,,,,1,
hopping,,h'ap.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,v,,,,1,
hugger,,,,,Xc,,CV CR,CV CR,10,0,,n,,,,1,
hugging,,h'Ag.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,5,
humming,,h'Am.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,6,
jackets,,J'@k.Its,,,Xc,,CV CVCC,CV CVCC,10,+/s/,CV CVC,n,,,,2,
karen,,,,,Xc,,CV CR,CV CR,10,0,,0,Proper Noun,,,6,
karen's,,,,10,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,0,Proper Noun,,,2,
kevin's,,k'Ev.Inz,,,Xc,,CV CVMC,CV CVC,10,+/z/,CV CVM,0,Proper Noun,,,1,
kicking,,,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,33,
kidding,,k'Id.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,1,
kisses,,k'Is.Iz,,,Xc,,CV CVC,CV CVC,10,+/Iz/,CVC,"n,v",,,,117,
kissing,,k'Is.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,15,
kittens,,k'It.Nz,,,Xc,,CV CRC,CV CVCC,10,+/z/,CV CR,n,,,,39,
knocking,,n'ak.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,v,,,,12,
kristen,,kr'Ist.In,,,Xc,,CCV CCVM,CCVC CVC,10,0,,0,Proper Noun,,,3,
kristen's,,,,10,Xc,,CCV CCVMC,CCVC CVCC,10,+/z/,CCV CCVM,0,Proper Noun,,,1,
latin,,l'@t.N,l&/tIn|'l&tIn,,,Xc,CV CR,CV CVC,10,0,,0,Proper Noun,,,2,
laura's,,l'cr.xz,,,Xc,,CVV CVC,CV CV,10,+/z/,CVV CV,0,Proper Noun,,,2,
lawrence,,l'cr.Ins,,,Xc,,CVV CVMC,CV CRC,10,0,,0,Proper Noun,,,1,
lemons,,l'Em.xnz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,1,
limits,,l'Im.Its,,,Xc,,CV CVCC,CV CVCC,10,+/s/,CV CVC,"n,v",,,,1,
liquids,,l'Ikw.Idz,,,Xc,,CV CCVCC,CV CCVCC,10,+/z/,CV CCVC,n,,,,1,
listened,,l'Is.Ind,,,Xc,,CV CRC,CV CRC,10,+/d/,CV CR,v,,,,2,
lizard's,,,,10,Xc,,CV CRCC,CV CRCC,10,+/z/,CV CRC,n,,,,1,
locking,,l'ak.IG,,,Xc,,CVV CVM,CV CVC,10,+/IG/,CVVC,v,,,,2,
looking,,l'Uk.IG,,,,Xc,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,284,
lookit,,,,10,Xc,,CV CVC,CV CVC,10,0,,0,,,,14,
lovings,,,,10,Xc,,CV CVMC,CV CVCC,10,+/z/,CVC,0,,,,2,
mama's,,,,10,Xc,,CVV CVC,CVV CVC,10,+/z/,CVV CV,n,,,,113,
mammals,,m'@m.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,2,
managed,,m'@n.IJd,,,Xc,,CV CVCC,CV CVCC,10,+/d/,CV CVC,v,,,,4,
mashing,,m'@S.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,3,
matters,,m'@t.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,1,
measures,,m'EZ.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,2,
megan,,m'eg.xn|m'ig.xn,,,Xc,,CV CR,CV CR,10,0,,0,Proper Noun,,,4,
messer,,m'Es.R,,,Xc,,CV CR,CV CR,10,0,,0,,,,1,
messes,,m'Es.Iz,,,Xc,,CV CVC,CV CVC,10,+/Iz/,CVC,n,,,,3,
messing,,m'Es.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,36,
mittens,,m'It.Nz,,,Xc,,CV CRC,CV CVCC,10,+/z/,CV CR,n,,,,42,
momma's,,,,10,Xc,,CVV CVC,CVV CVC,10,+/z/,CVV CV,n,,,,6,
mopping,,m'ap.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,v,,,,4,
mothers,,m'AD.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,10,
mother's,,m'AD.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,2,
muffet,,,,10,Xc,,CV CVC,CV CVC,10,0,,0,Proper Noun,,,2,
muffins,,m'Af.Inz,,,Xc,,CV CVMC,CV CVCC,10,+/z/,CV CVM,n,,,,4,
muppets,,m'Ap.Its,,,Xc,,CV CVCC,CV  CVC,10,+/s/,CV CVC,n,,,,1,
mushing,,m'AS.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,2,
nana's,,,,10,Xc,,CV CVC,CV CVC,10,+/z/,CV CV,n,,,,6,
napping,,n'@p.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,1,
nibbled,,n'Ib.xld,,,Xc,,CV CRC,CV CRC,10,+/d/,CV CR,v,,,,1,
nodded,,n'ad.Id,,,Xc,,CV CVC,CV CVC,10,+/Id/,CVC,v,,,,1,
nodding,,n'ad.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,1,
nothing's,,n'AT.IGz,,,Xc,,CV CVMC,CV CVCC,10,+/z/,CV CVM,n,,,,1,
nuggets,,n'Ag.Its,,,Xc,,CV CVCC,CV CVCC,10,+/s/,CV CVC,n,,,,1,
offered,,'cf.Rd,,,Xc,,VV CRC,VV CRC,10,+/d/,VV CR,v,,,,2,
olives,,'al.Ivz,,,Xc,,VV CVC,VV CVC,10,+/z/,VV CVC,n,,,,2,
onions,,'Any.xnz,,,Xc,,VM CRC,VM CRC,10,+/z/,VM CR,n,,,,2,
oscar,,'ask.R,,,Xc,,VV CCR,VVC CR,10,0,,0,Proper Noun,,,11,
oscar's,,,,10,Xc,,VV CCRC,VVC CRC,10,+/z/,VV CCR,0,Proper Noun,,,1,
panicked,,p'@n.Ikt,,,Xc,,CV CVCC,CV CVCC,10,+/d/,CV CVC,v,,,,1,
parents,,p'@r.Ints,,,Xc,,CV CRC,CV CRC,10,+/s/,CV CRC,n,,,,5,
patches,,p'@C.Iz,,,Xc,,CV CVC,CV CVC,10,+/Iz/,CVC,"n,v",,,,8,
patricks,,,,10,Xc,,CV CCVCC,CV CCVCC,10,+/s/,CV CCVC,0,Proper Noun,,,1,
patterns,,p'@t.Rnz,,,Xc,,CV CRCC,CV CRC,10,+/z/,CV CRC,"n,v",,,,1,
patting,,p'@t.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,1,
pausing,,,,,Xc,,CVV CVM,CV CVC,10,+/IG/,CVVC,v,,,,1,
pedals,,p'Ed.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,1,
pegger,,,,10,Xc,,CV CR,CV CR,10,0,,0,,,,1,
peppers,,p'Ep.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,1,
pepper's,,p'Ep.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,1,
petals,,p'Et.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,5,
petted,,p'Et.Id,,,Xc,,CV CVC,CV CVC,10,+/Id/,CVC,v,,,,2,
petting,,p'Et.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,4,
picking,,p'Ik.IG,pI/kI9|'pIkIN,,,Xc,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,24,
pickles,,p'Ik.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,8,
pigeons,,p'IJ.Inz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,5,
pockets,,p'ak.Its,,,Xc,,CVV CVCC,CVV CVCC,10,+/s/,CVV CVC,"n,v",,,,5,
popping,,p'ap.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,v,,,,1,
possums,,p'as.xmz,,,Xc,,CVV CRC,CVV CRC,10,+/z/,CVV CR,n,,,,1,
pouring,,p'or.IG,,,,Xc,CVVC VM,CVVM VC,10,+/IG/,CVVC,v,,,,8,
problems,,pr'abl.xmz,,,Xc,,CCVV CCRC,CCVV CCRC,10,+/z/,CCVV CCR,n,,,,1,
products,,pr'ad.xkts,,,Xc,,CCVV CVCCC,CCVV CVCC,10,+/s/,CCVV CVCC,n,,,,2,
projects,,pr'aJ.Ekts|pr.xJ'Ekts,,,Xc,,CCVV CVCCC,CCVV CVCC,10,+/s/,CCVV CVCC,"n,v check which one",,,,3,
promised,,pr'am.Ist,,,Xc,,CCVV CVCC,CCVV CVCC,10,+/t/,CCVV CVC,v,,,,7,
puddles,,p'Ad.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,5,
pulling,,p'Ul.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVM,v,,,,50,
pushes,,p'US.Iz,,,Xc,,CV CVC,CV CVC,10,+/Iz/,CVC,"n,v",,,,1,
putted,,p'At.Id,,,Xc,,CV CVC,CV CVC,10,+/Id/,CVC,v,,,,1,
putting,,p'At.IG|p'Ut.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,106,
puzzles,,p'Az.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,3,
quacking,,kw'@k.IG,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVC,v,,,,1,
rabbits,,r'@b.Its,,,Xc,,CV CVCC,CV CVCC,10,+/s/,CV CVC,n,,,,13,
rabbit's,,r'@b.Its,,,Xc,,CV CVCC,CV CVCC,10,+/s/,CV CVC,n,,,,7,
ramen,,,,,,Xc,CVV CR,CVV CR,10,0,,0,Proper Noun,,,2,
rashes,,r'@S.Iz,,,Xc,,CV CVC,CV CVC,10,+/Iz/,CVC,n,,,,1,
rattles,,r'@t.xlz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,"n,v",,,,7,
records,,r'Ek.Rdz|r.Ik'crdz,,,Xc,,CV CRCC,CV CRC,10,+/z/,CV CRC,"n,v check this one",,,,1,
ribbet,,,,10,Xc,,CV CVC,CV CVC,10,0,,0,,,,8,
ribbons,,r'Ib.xnz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,4,
richard,,r'IC.Rd,,,Xc,,CV CRC,CV CRC,10,0,,0,Proper Noun,,,1,
ripping,,r'Ip.IG,rI/pI9|rIpI9 Q,,,Xc,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,3,
risen,,r'Iz.In,rI/zn|rIzn,,,Xc,CV CR,CV CR,10,+/N/,CVVC,v,,,,1,
rivers,,r'Iv.Rz,,,Xc,,CV CRC,CV CRC,10,+/z/,CV CR,n,,,,1,
robbin's,,,,10,Xc,,CVV CRC,CVV CVCC,10,+/z/,CVV CR,0,Proper Noun,,,1,
robert,,r'ab.Rt,,,Xc,,CVV CRC,CVV CRC,10,0,,0,Proper Noun,,,1,
roberts,,r'ab.Rts,,,Xc,,CVV CRCC,CVV CRCC,10,+/s/,CVV CRC,0,Proper Noun,,,1,
rocking,,r'ak.IG,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,v,,,,29,
rougher,,r'Af.R,,,Xc,,CV CR,CV CR,10,+/R/,CVC,a,,,,2,
rushing,,r'AS.IG,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,v,,,,2,
